filename,title,author,illustrator,translator,publisher,date,original publication date,page number,original language,subject,location,latitude,longitude,style,content,objectid,world cat page,notes and documentation,format
completepersepolis.jpeg,Complete Persepolis,Marjane Satrapi,Marjane Satrapi,Mattias Ripa & Blake Ferris,Pantheon Books,2007,2000-2003,341 pages,French,Iran; Austria,Iran; Austria,32.4279,53.688,,autobiography of author growing up during the Iranian Revolution,gnme001,https://www.worldcat.org/title/complete-persepolis/oclc/972046912&referer=brief_results,Translators names need to be double checked with the Omnibus edition. ,image/jpeg
persepolisstoryofachildhood.jpeg,Persepolis: The Story of a Childhood,Marjane Satrapi,Marjane Satrapi,Mattias Ripa & Blake Ferris,Pantheon Books,2003,2000-2003,153 pages,French,Iran,Iran,32.4279,53.688,,,gnme002,https://www.worldcat.org/title/persepolis-1-the-story-of-a-childhood/oclc/680081292&referer=brief_results,Find out about the french editions cited in these for dates. ,image/jpeg
persepolisstoryofareturn.jpeg,Persepolis: The Story of a Return,Marjane Satrapi,Marjane Satrapi,Mattias Rippa & Blake Ferris,Pantheon Books,2004,2000-2003,150 pages,French,Iran; Austria,Iran; Austria,32.4279,53.688,,,gnme003,https://www.worldcat.org/title/story-of-a-return/oclc/851822873&referer=brief_results,,image/jpeg
thearabofthefuture.jpeg,The Arab of the Future: A Childhood in the Middle East (1978-1984),Riad Sattouf,Riad Sattouf,Sam Taylor,New York: Metropolitan Books,2015,2014,153 pages,French,France; Libya; Syria,France; Libya; Syria,34.8021,38.9968,,"In striking, virtuoso graphic style that captures both the immediacy of childhood and the fervor of political idealism, Riad Sattouf recounts his nomadic childhood growing up in rural France, Gaddafi's Libya, and Assad's Syria--but always under the roof of his father, a Syrian Pan-Arabist who drags his family along in his pursuit of grandiose dreams for the Arab nation.",gnme004,https://www.worldcat.org/title/arab-of-the-future-volume-1-a-graphic-memoir-a-childhood-in-the-middle-east-1978-1984/oclc/1144584162&referer=brief_results,,image/jpeg
thearabofthefuture2.jpeg,The Arab of the Future 2: A Childhood in the Middle East (1984-1985),Riad Sattouf,Riad Sattouf,Sam Taylor,London: Two Roads,2015,2014,154 pages,French,France; Libya; Syria,France; Libya; Syria,34.8021,38.9968,,"The highly anticipated continuation of Riad Sattoufs internationally acclaimed, #1 French bestseller, which was hailed by the New York Times as a disquieting yet essential read in the Arab of the Future: Volume 1, cartoonist Riad Sattouf tells of the first years of his childhood as his family shuttles back and forth between France and the Middle East. In Libya and Syria, young Riad is exposed to the dismal reality of a life where food is scarce, children kill dogs for sport, and his cousins, virulently anti-Semitic and convinced he is Jewish because of his blond hair, lurk around every corner waiting to beat him up. In volume 2, Riad, now settled in his fathers hometown of Horms, gets to go to school, where he dedicates himself to becoming a true Syrian in the country of the dictator Hafez Al-Assad. Told simply yet with devastating effect, Riads story takes in the sweep of politics, religion, and poverty, but is steered by acutely observed small moments: the daily sadism of his schoolteacher, the lure of the black market, with its menu of shame and subsistence, and the obsequiousness of his father in the company of those close to the regime. As family strains to fit in, on chilling, barbaric act drives the Sattoufs to make the most dramatic of changes. Darkly funny and piercingly direct. The Arab of the Future, Volume 2 once again reveals the inner workings of a tormented country and a tormented family, delivered through Riad Saffoufs dazzlingly original talent. Read less",gnme005,https://www.worldcat.org/title/arab-of-the-future-2-a-childhood-in-the-middle-east-1984-1985/oclc/958924702&referer=brief_results,,image/jpeg
thearabofthefuture3.jpeg,The Arab of the Future 3: A Childhood in the Middle East (1985-1987),Riad Sattouf,Riad Sattouf,Sam Taylor,London: Two Roads,2018,2014,146 pages,French,France; Libya; Syria,France; Libya; Syria,34.8021,38.9968,,The highly anticipated continuation of Riad Sattouf's internationally acclaimed graphic memoir.,gnme006,https://www.worldcat.org/title/arab-of-the-future-volume-3-a-childhood-in-the-middle-east-1985-1987-a-graphic-memoir/oclc/1064661588&referer=brief_results,,image/jpeg
thearabofthefuture4.jpeg,The Arab of the Future 4: A Childhood in the Middle East (1987-1992),Riad Sattouf,Riad Sattouf,Sam Taylor,New York Metropolitan Books,2019,2014,282 pages,French,France; Libya; Syria,France; Libya; Syria,34.8021,38.9968,,"In the fourth volume of The Arab of the Future, little Riad has grown into a teenager. In the previous books, his childhood was complicated by the pull of his two cultures -- French and Syrian -- and his parents' deteriorating relationship. Now his father, Adbel-Razak, has left to take a job in Saudi Arabia, and after making a pilgrimage to Mecca, turns increasingly towards religion. But after following him from place to place and living for years under the harsh conditions of his impoverished village, Riad's mother Clementine has had enough. Refusing to live in a country where women have no rights, she returns with her children to live in France with her own mother... until Abdel-Razak shows up unexpectedly to drag the family on yet another journey. As the series builds to a climax, we see Riad struggle with problems both universal (bullies at school) and specific (his mother's sudden illness, the judgment of his religious relatives). And as Abdel-Razak returns again to the same fantastical dreams he pursued in previous books, we see him become more and more unhinged, until ultimately he crosses the line from idealism to fanaticism, leading to a dramatic breaking point. Full of the same gripping storytelling and lush visual style for which Sattouf's previous works have won numerous awards, The Arab of the Future 4 continues the saga of the Sattouf family and their peripatetic life in France and the Middle East.",gnme007,https://www.worldcat.org/title/arab-of-the-future-4-a-childhood-in-the-middle-east-1987-1992-a-graphic-memoir/oclc/1183432942&referer=brief_results,,image/jpeg
chicken2006.jpeg,Chicken with Plums : Part 1,Marjane Satrapi,Marjane Satrapi,n/a,"Charlottesville, VA : Virginia Quarterly Review",2006,2004,pages 122-[139],French,Iran,Iran,32.4279,53.688,,"Story of Author's great uncle, a musician dealing with the loss of hs instrument, and losing hope.",gnme008,https://www.worldcat.org/title/chicken-with-plums-part-1/oclc/124068303&referer=brief_results,,image/jpeg
embroideries.jpeg,Embroideries,Marjane Satrapi,Marjane Satrapi,n/a,New York: Pantheon,2005,2003,136 pages,French,Iran,Iran,32.4279,53.688,,"From the best–selling author of Persepolis comes this gloriously entertaining and enlightening look into the sex lives of Iranian women. Embroideries gathers together Marjane’s tough–talking grandmother, stoic mother, glamorous and eccentric aunt and their friends and neighbors for an afternoon of tea drinking and talking. Naturally, the subject turns to love, sex and the vagaries of men.
As the afternoon progresses, these vibrant women share their secrets, their regrets and their often outrageous stories about, among other things, how to fake one’s virginity, how to escape an arranged marriage, how to enjoy the miracles of plastic surgery and how to delight in being a mistress. By turns revealing and hilarious, these are stories about the lengths to which some women will go to find a man, keep a man or, most important, keep up appearances. 
Full of surprises, this introduction to the private lives of some fascinating women, whose life stories and lovers will strike us as at once deeply familiar and profoundly different from our own, is sure to bring smiles of recognition to the faces of women everywhere—and to teach us all a thing or two.",gnme009,https://www.worldcat.org/title/embroideries/oclc/1028444748&referer=brief_results,,image/jpeg
palestine2001.jpeg,Palestine,Joe Sacco,Joe Sacco,n/a,"Jonathan Cape London, UK",2001,,285 pages,English,Palestine,Palestine,31.9522,35.2332,,"Prior to Safe Area Gorazde: The War In Eastern Bosnia 1992-1995—Joe Sacco's breakthrough novel of graphic journalism—the acclaimed author was best known for Palestine, a two-volume graphic novel that won an American Book Award in 1996. Fantagraphics Books is pleased to present the first single-volume collection of this landmark of journalism and the art form of comics. Based on several months of research and an extended visit to the West Bank and Gaza Strip in the early 1990s (where he conducted over 100 interviews with Palestinians and Jews), Palestine was the first major comics work of political and historical nonfiction by Sacco, whose name has since become synonymous with this graphic form of New Journalism. Like Safe Area Gorazde, Palestine has been favorably compared to Art Spiegelman's Pulitzer Prize-winning Maus for its ability to brilliantly navigate such socially and politically sensitive subject matter within the confines of the comic book medium. Sacco has often been called the first comic book journalist, and he is certainly the best. This edition of Palestine also features an introduction from renowned author, critic, and historian Edward Said (Peace and Its Discontents and The Question of Palestine), one of the world's most respected authorities on the Middle Eastern conflict.",gnme010,https://www.worldcat.org/title/palestine-comic-book-series/oclc/948345535&referer=brief_results,"The ğublication history is as complex as Persepolis: The complete graphic novel, published in 2001 by Fantagraphics Books,[1] collects nine issues of Sacco's Palestine comic book, published by Fantagraphics from 1993 to 1995; the single volume edition includes an introduction by Edward Said. In 1996, Fantagraphics had released a two-part collection of the series — Palestine, a Nation Occupied (collecting Palestine #1-5) and Palestine: In the Gaza Strip (collecting issues #6-9).[2] An expanded edition was released in 2007.",image/jpeg
